keys,zh_CN
event.afghan_civil_war.option_1.result,由于我们与苏联的关系，我们能够与阿富汗民主共和国谈判。为了换取我们的支持，他们停止了对前反对派毛派的迫害，并与他们组成了一个对抗伊斯兰主义和美帝国主义的进步力量联盟，只要毛派自己放下武器（他们不情愿，但同意了）。这是我们的外交胜利！与此同时，在这个国家，内战正如火如荼般的进行着，没有人能预料到战争的结果。
event.afghan_civil_war.option_1.text,援助阿富汗民主共和国，交换条件是将毛派政党纳入与人民民主党的联盟
event.afghan_civil_war.option_2.text,援助阿富汗民主共和国
event.afghan_civil_war.option_3.result,由于担心苏联势力的扩大，我们决定支持阿富汗的毛派组织同民主共和国和伊斯兰主义者进行武装斗争。当然，无论是苏联还是美国都不喜欢这样，而且阿富汗毛主义者并不代表着一支特别强大的力量，所以我们的许多力量将被派去支持他们……与此同时，在这个国家，内战正如火如荼般的进行着，没有人能预料到战争的结果。
event.afghan_civil_war.option_3.text,援助毛主义起义者
event.afghan_civil_war.option_4.result,后来，美中以“发展经贸合作”为名，出人意料地迅速举行峰会，但实际目的完全不同。在秘密谈判中，美国代表团向中国提供了一份购买武器的合同，并将这些武器越过中国边境运送到邻国阿富汗，以支持圣战者反对苏联侵略，并对阿富汗民主共和国伪政权造成强力打击。中方接受了美方的建议，第一批武器计划在未来三个月内部署，但我们只会从中受益，我们的成本将由我们的新战略盟友承担。
event.afghan_civil_war.option_4.text,向武装反对派出售枪支，美国人愿意为之付钱
event.afghan_civil_war.title,穷山恶水
event.afghan_pakistan_border.desc,从阿富汗反政府示威活动和民主共和国政府的回应开始，许多伊斯兰激进分子、恐怖分子和阿訇逃往巴基斯坦，在那里他们与当地的“同事”结盟。随后，在阿富汗武装暴乱开始后，难民涌入巴基斯坦，在那里成立的伊斯兰恐怖组织的等待下。巴基斯坦本身并没有采取特别的措施来解决这些问题，似乎布托在这方面有足够的问题，但为他提供地下援助，以制止这种暴行是值得的吗？另一方面，美国对通过巴基斯坦帮助阿富汗叛军的可能性非常感兴趣，如果布托不能以任何方式与美国达成一致，那么他可以与我们达成一致。通过巴基斯坦运送美国武器和顾问，我们可以“削减”美国人的钱和打击苏联社会帝国主义。
event.afghan_pakistan_border.option_0.result,一切顺其自然。巴基斯坦当局压制激进的宗教宣传，且不允许过境者携带武器通过巴阿边境检查站，但他们既没有实力也没有意愿去实现这两点。
event.afghan_pakistan_border.option_0.text,让巴基斯坦自己处理
event.afghan_pakistan_border.option_1.result,我们明确地提醒布托，现在是时候制止在边界上猖獗的恐怖分子，并派遣我们的特工和军队帮助他，我们和巴基斯坦开始在边界巡逻并追查激进的伊斯兰主义组织。我必须说，行动是成功的——伊斯兰主义者没有料到巴基斯坦会做出如此严厉的反应，他们几乎都毫无防备。原教旨主义者们现在发现自己没有能力像之前一样“援助”阿富汗兄弟了。祝他们在挖通过边境线下的地道时耗死自己。
event.afghan_pakistan_border.option_1.text,向巴基斯坦提供援助，帮助巡逻边境和抓捕伊斯兰主义者
event.afghan_pakistan_border.option_2.disabled,不要帮助反动派！
event.afghan_pakistan_border.option_2.result,在与美国达成默契协议并劝说布托不要妨碍我们之后，我们开始将美国武器和顾问运送到巴基斯坦-阿富汗边境，将它们移交到圣战者那里，圣战者半合法的越过边境，前往阿富汗。这大大帮助了阿富汗反政府武装对抗阿富汗民主共和国的进程，另一方面，美国的资金以“中介服务”的名义到了我们的口袋里。
event.afghan_pakistan_border.option_2.text,和美国谈判
event.afghan_pakistan_border.option_3.disabled,我们不能帮助阿富汗民主共和国的毛派起义者
event.afghan_pakistan_border.option_3.result,我们继续向阿富汗的毛派起义者提供援助，驱赶伊斯兰教徒离开边境，为毛派组织训练营和补给中心，在那里我们提供武器并派遣教官，这对这些起义者有很大帮助。巴基斯坦当局还同意我们不受阻碍地向阿富汗派遣人员和武器。当然，我们必须为建立这样一个基础设施而付出代价，这同时使军队的供应紧张，苏联和美国对此也并不满意。
event.afghan_pakistan_border.option_3.text,搞这些干嘛？不如在巴基斯坦为阿富汗毛派起义者组织基地（需要5百万预算）
event.afghan_pakistan_border.title,善邻难做
event.afghan_soviet_intervention.desc,四月革命后，人民民主党面临着许多困难，这是由于其成员缺乏经验和残存着大量的封建和宗教残余，但由于人民民主党两个派系之间的力量相对平衡，有可能避免重大的政治冲突。特别是由于，旗帜派和人民派的成员在苏联的支持下，成功地将阿明从政府和中央委员会除名，指控他违反集体领导原则和普什图民族主义。然而，从今年年初开始的反动组织，特别是伊斯兰主义者的起义势头越来越强劲。巴基斯坦和伊朗的一些公民加入了他们，非法越境，甚至美国设法以某种方式将他们的武器和顾问拖到阿富汗帮助圣战者。在这种情况下，苏联应阿富汗领导人的无数要求，决定引进一支小分队，保卫重要的军事设施和城市，解放阿富汗民主共和国军队的力量与叛乱分子作战。他们似乎不希望大规模参与敌对行动，但西方已经谴责这一行为，称之为入侵。
event.afghan_soviet_intervention.option_0.result,随着部分部队的释放，在苏联顾问和空军的帮助下，阿富汗民主共和国对伊斯兰主义者发起了相对成功的敌对行动。现在预测未来的胜利还为时过早，但在美国无法直接进入阿富汗的情况下，阿富汗民主共和国具有显著优势。
event.afghan_soviet_intervention.option_0.text,不回应
event.afghan_soviet_intervention.option_1.result,在参加了西方外交官的讲话之后，我们还谴责苏联军队进入阿富汗，称这是对一个主权国家事务的野蛮干涉。西方领导人支持我们的声明，但苏联领导人没有回应。随着部分部队的释放，在苏联顾问和航空的帮助下，阿富汗民主共和国对伊斯兰主义者发起了相对成功的敌对行动。现在预测未来的胜利还为时过早，但在美国无法直接进入阿富汗的情况下，阿富汗民主共和国具有显著优势。
event.afghan_soviet_intervention.option_1.text,谴责军队介入
event.afghan_soviet_intervention.option_2.result,与世界各地听到的关于“入侵”的声音相反，我们决定支持苏联军队的进入，因为这是为了确保阿富汗的和平与稳定，根据《苏阿友好条约》，这是绝对合法的。当然，在西方，我们被称为血腥政权的同谋者，但苏联感谢这一支持。
event.afghan_soviet_intervention.option_2.text,支持军队介入
event.afghan_soviet_intervention.title,看看就走……
event.afghan_soviet_plot.desc,在最近的阿明政变之后，苏联以各种可能的方式寻找清除目中无人的篡权者的方法。根据我们的数据，苏联领导人已经与卡尔迈勒、萨瓦里和瓦坦贾等不同派系的人民民主党成员建立了联系，他们因阿明的清洗而逃离阿富汗，并准备用他们来取代阿明。这项计划的关键是以苏联特勤部队中和阿明及其忠实的随从，苏联特勤部队的掩护应该由苏联军队提供，自今年年初以来，尽管苏联不断遭到拒绝，但人民民主党和阿明本人一直被要求得到进入许可。然而，在这种情况的压力下，苏维埃领导人似乎决定改变决定，最早12月25日，第一批苏维埃部队越境，任务是保护苏阿合作的重要军事设施和对象。现在是我们夺取在阿富汗的主动权的机会，如果有可能防止阿明的免职的话。然而，这只能在与苏联保持良好关系的情况下才能实现，否则苏联将冲破一堵砖墙，但不会给我们阿富汗。
event.afghan_soviet_plot.option_0.text,这是苏联的事务
event.afghan_soviet_plot.option_1.disabled,没有人会让我们介入
event.afghan_soviet_plot.option_1.result,多亏了我们及时的警告，阿明设法使他的忠诚派系进入战备状态，而他离开了住所，在喀布尔郊区避难。苏联甚至在行动开始时，就已经意识到他的计划失败了，并召回了特种部队。只是在我们和阿富汗外交官以及阿明的努力下，才避免了一个重大的国际丑闻。阿明努力装作什么都没有发生，名义上也没有改变政策。当然，尽管苏联仍然不高兴，并开始迅速减少对阿富汗的援助。苏联军队的进入速度也减慢了，他们的任务也是如此。看来，随着时间的推移，他们和苏联的专家们都会完全撤离，所以在内战开始时，我们必须为阿富汗提供一切帮助。与此同时，阿明与中华人民共和国缔结了一些条约，并邀请直到最近还在反对派内的毛派分子，他们将以优惠条件加入阿富汗人民民主党，并将被增选为政府成员。
event.afghan_soviet_plot.option_1.text,警告阿明和向他发送帮助
event.afghan_soviet_plot.title,反对所有暴君
event.african_union.desc,随着泛非社会主义者在几内亚，加纳，布基纳法索等国站稳脚跟，一贯抵抗新殖民主义和新旧帝国主义的游击战士们推翻了津巴布韦的白人独裁政府，粉碎了帝国主义代理人的复辟妄想。这时，一个自1920年便萦绕在无数非裔政客心头许久的梦想开始再度浮现：泛非主义。这不是第一次有革命家们提出此中理论了。恩克鲁玛，塞古·杜尔和莫迪博·凯塔等人早在独立伊始就吹响了“非洲必须统一”的战斗号角。但随着恩克鲁玛和凯塔在政变中双双丢失权力，非洲统一组织被帝国主义代理人把持，完全失去了领导非洲人民前进的能力。|二十载以来，非洲仍然是一直是殖民主义遗毒最深的地区，帝国主义者和修正主义者一直把这里当作角斗场，扶持自己的代理人相互开战，对正在开展的大屠杀和政治迫害视若无睹。但现在不一样了。在东非，朱利叶斯·尼雷尔和肯尼思·卡翁达领导下的坦桑尼亚与赞比亚已经成为了呼吁非洲团结的新桥头堡，尼雷尔本人也多次在《自由报》上呼吁与软弱无能的非洲统一组织决裂，建立崭新的组织。在受了数十年的苦难后，曾经的奴隶终于翻了身，做了主人。如今，组建一个崭新的，致力于非洲彻底解放事业的组织已然成为可能。这个组织的诞生将会狠狠的打击美国和苏联帝国主义者的影响力。
event.african_union.option_0.result,今天，布基纳法索共和国首都瓦加杜古应各界邀请，召开了承接了六届泛非大会和三场全非人民大会传统的第七届泛非大会。桑卡拉总统本人亲自带队迎接诸位友好的兄弟国家领导人。此次盛会不可不称为是泛非主义近三十年来数位杰出领导人的集体亮相：如知名泛非主义革命家阿米尔卡·卡布拉尔的胞弟、几内亚佛得角共和国总统路易斯·卡布拉尔；非洲对抗殖民主义的先锋、津巴布韦的独立战争英雄约书亚·通戈加拉总理；和恩克鲁玛，塞古·杜尔等人同一时期掀起反抗和斗争大旗的斗士总统朱利叶斯·尼雷尔则成为了万众瞩目的焦点，这可能是这位年迈的领导人最后几次出国的机会；在60年代以赞比亚举国之力力扛葡萄牙、罗德西亚和南非三国施压和军事威胁，依旧坚定支持莫桑比克和津巴布韦独立运动的“人道的社会主义者”，风趣幽默的肯尼思·卡翁达也率领着自己的代表团来到了正人君子之国；飞行员出身的加纳领导人杰瑞·罗林斯更是亲自驾机带领代表团飞抵瓦加杜古。由第一任中国驻布基纳法索大使谢邦治带队的中国代表团也受到了桑卡拉总统的热烈欢迎。遗憾的是，莫桑比克解放阵线党迫于国内事务繁杂，其领导人无法亲自出席。非洲五十多个国家和部分仍然在争取彻底独立的非洲国家的国旗在瓦加杜古的街头高高飘扬，诸位泛非主义先驱的画像在市中心的独立大道高高立起。就这样我国和布基纳法索签订的第一批建设项目中新建成的国家独立宫迎来了第一批客人。在各国领导人和代表们结束了简要的报告后，坦桑尼亚和津巴布韦代表团联合提交了一份组建新非洲统一机构，即非洲联盟的草案。首先，文件强调了现有的非洲统一组织的不足，指出其无利于甚至是在阻挠非洲革命进程。由此，为了进一步发扬法农、恩克鲁玛、塞古·杜尔与卡布拉尔等人高高举起的泛非火炬，各国有必要组建新的跨国合作组织。文件提供了对完善且更为激进的解决方案，包括组建各国政党的、以科学社会主义和革命泛非主义为指导的跨国合作平台“全非人民革命党团”，并视行政能力，将各地的政治组织缓慢的改造为统一的全非人民革命党的地区支部；调整成员国与成员国之间的关税壁垒和人口流动自由程度；由各国国防武装力量中挑选士兵组建全非人民革命军，致力于维持各冲突地区的安全，在必要的情况下用武装捍卫别国的革命果实，并在章程层面确立了该组织将致力于全非洲以及非裔占多数地区争取平等权利的解放事业。毫无疑问，此份草案在大会上全票通过，各国代表签署了《瓦加杜古宣言》，宣告了非洲联盟的诞生，成员国们纷纷退出原先的非洲统一组织，转而投身于真正的非洲解放事业。我国作为特邀成员国成为了该组织内唯一的亚洲国家。早已沉寂许久的黑豹党和美国的黑人民族主义运动也表达了对这次大会浓厚的兴趣，纷纷在自己的刊物上报道了此次会议，称其为“第三世界新一轮革命浪潮的嚆矢”。除此以外，富有神秘主义色彩，相信“黑人救世主”的牙买加拉斯塔法里运动也表示了对此次大会的支持。我们的战友们遍布非洲大陆，怒吼吧，古老的大陆，让帝国主义震颤吧！
event.african_union.option_0.text,觉醒的人民必将胜利！
event.african_union.title,非洲的新生
event.agricultural_reform.desc,目前，中国实行的人民公社制度确立于50年代后期。人民公社制度的确立经历多重波折，最终逐渐探索出了“大寨模式”，随后全国以这一模式为样板，发起了学大寨运动。1975年的全国农业学大寨会议曾提出要在全国建设“大寨县”（即实行大寨模式的县），陈永贵曾指出“大寨县”的标准：粮食亩产实现八百斤；科学种田；基本实现农业机械化，为农业现代化打下基础；干部参与劳动，落实“一二三”（即干部每年参加劳动的指标：县委书记100天，公社党委书记200天，大队支部书记300天）。但是，毛主席的去世使得党内对农业路线的争议再次浮出水面。极左派和保守派都要求继续实行毛主席定下的大寨路线，但他们对“大寨县”普及速度仍有争议，极左派支持大搞社会主义的农业机械化和现代化并进行农村工业化，保守派则认为大寨模式的普及不应该停止，但更多的资金应该用在其他地方（如现代化上）；另外，温和派和改革派想要再次实施类似刘少奇等人支持的“三自一包”的模式；而另一部分步子迈地更大的改革派甚至提议引入一套完善的私人农业体系。我们需要决定我们用以农业发展的资金最终流向哪部分人。主席同志，这是一场新的路线斗争，中国农业未来的命运在你手里！
event.agricultural_reform.option_0.result,我们决定不节外生枝，将资金投入到其他更要紧的地方去，继续缓慢而持续地推行大寨模式和农业机械化，虽然这引起了一些渴望得到属于自己的土地的农民和党内改革派的不满，但我们希望一切顺利。
event.agricultural_reform.option_0.text,维持大寨模式的普及，但不额外拨款
event.agricultural_reform.option_1.result,我们最终决定解散人民公社，并将土地承包给各个独立的家庭，而这些承包者需要为我们提供按指定价格售卖的商品粮。重新拿到自己的土地（虽然并没有所有权）使得农民又对耕作产生了热情，这调动了农民们的积极性，我们也可以更好的稳定农村。当然，有一部分党员表示了不满，认为这是“重回资本主义道路的一大步”。
event.agricultural_reform.option_1.text,引入家庭联产承包合同
event.agricultural_reform.option_2.disabled,我们不会把农业交给私人投机者！
event.agricultural_reform.option_2.result,在政治局和中央委员会长期的论战之后，我们终于克服了保守派和温和派的抵触心理，并宣布解散人民公社，全国耕地重新分配给各个家庭，且各个家庭拥有完全的产权。中国农业银行已经准备好了为农民提供贷款来让农民购买农机和化肥的准备，农民除了要将定量的商品粮卖给国家以外，可以自由处置剩下的粮食。这可以显著的提高我国的市场化水平，财政部也开始商定对这些新自耕农的税率了，但是很多人对此表示不满，一些人也开始暗中购买耕地了，人民正在期待我们的下一步改革。
event.agricultural_reform.option_2.text,引进私营农场
event.agricultural_reform.option_3.disabled,我们需要把钱浪费在这种地方吗？
event.agricultural_reform.option_3.result,我们最后决定拨款加速公社的集体化和机械化，党中央起草了一份新的人民公社条例，各地也对人民公社进行了重新改造：现在我们国家的农业由许多国家控制下的公社组成，我们会要求各个人民公社按照义务收购合同交售保质保量的粮食，蔬果和肉类，至于那些超产的部分我们则开放了国家管理下的集市来让他们自由交易，同时各大拖拉机厂和化肥厂也迎来了新一轮的大宗订单，这些是我们为了实现农业机械化所付出的努力，而它在未来肯定是硕果累累的，就是当下的财政支出有些大......
event.agricultural_reform.option_3.text,增加资金投入，加速大寨模式的普及和农业机械化工业化
event.agricultural_reform.title,农业改革
event.agriculture_decline.desc,我们的农业正处于空前的衰退之中—即使在大跃进时期也没有这种情况！
event.agriculture_decline.option_0.result,大量资金被紧急从预算中拨出，用于农业现代化、引进这一领域的技术和专家。问题开始被解决了。
event.agriculture_decline.option_0.text,紧急拨款用于发展
event.agriculture_decline.option_1.disabled,投资者嫌弃我们
event.agriculture_decline.option_1.result,我们的招商引资活动非常成功！外国人自己现在建造和现代化我们的农场，我们没有从预算里花半毛钱。诚然，为此，有必要降低最低工资、安全生产要求等劳动法规的要求，但没关系，人民会承受住的。
event.agriculture_decline.option_1.text,吸引外国投资
event.agriculture_decline.option_2.disabled,我们不需要修正主义者的施舍！
event.agriculture_decline.option_2.result,苏联同意像过去如何帮助我们一样使我们现在实现农业现代化。然而，他并不特别喜欢无偿派遣专家和机器，我们对苏联也有一些依赖。
event.agriculture_decline.option_2.text,请求苏联的帮助
event.agriculture_decline.option_3.disabled,农业的处境也好不到哪里去
event.agriculture_decline.option_3.result,通过对企业预算资金和收入的再分配，我们能够将工业的力量引导到农业的发展。这对农业有帮助，但工业遭受了巨大打击。
event.agriculture_decline.option_3.text,以牺牲农业为代价促进发展
event.agriculture_decline.title,农业衰退
event.anthem_problem.desc,主席同志，既然您决定正式的，以万分严肃的态度处理我国的国歌问题。那么，请现听我稍稍介绍一下我国国歌目前的问题。在我国建国前的政治协商会议上，我国就确立了以田汉作词，聂耳谱曲的《义勇军进行曲》作为代国歌。但并未以正式的法律程序确立其地位，五四宪法中也没有与国歌相关的内容。一切看起来都相对正常……直到无产阶级文化大革命波及到了田汉本人。田汉在文化大革命早期被打倒，因此，义勇军进行曲的歌词被删去，在公共场合一般之采用纯音乐。在造反派占优势的地区和特殊情况下，我国也会演奏赞颂毛泽东主席和共和国的歌曲《东方红》作为国歌。在1977年筹备第五届人大的时候，我国就国歌问题发动了全国各族人民进行大讨论，有许多富有创意的观点得到了讨论。目前我国现行的义勇军进行曲为改词版，在修改了部分歌词的前提下，额外强调了毛泽东主席以及他所缔造的中国共产党在革命中的贡献。同时，还有几份法案得到了人大的支持。其中包括恢复原版作词的义勇军进行曲；党内的左派支持正式确立《东方红》的国歌地位、而将《义勇军进行曲》改为代国歌；更有甚者认为我国有必要效仿苏维埃俄国，立足国内，放眼全球的革命共产主义运动，将《国际歌》确认为我国的正式国歌。当然，也有人支持按照我国的实际国情，对《歌唱祖国》进行改编；1977年所谱成的新歌《中国，鲜红的太阳永不落》也有不少支持者。主席同志，只要您确定好了大体方案，我们就会在下次的人大大会上对此表决。
event.anthem_problem.option_0.text,让我们选用改词版《义勇军进行曲》
event.anthem_problem.option_1.disabled,有些事情…宜粗不宜细
event.anthem_problem.option_1.text,恢复原版的《义勇军进行曲》
event.anthem_problem.option_2.disabled,这首歌……实在不合适
event.anthem_problem.option_2.text,最响亮的歌是《东方红》，它将成为我国的正式国歌！
event.anthem_problem.option_3.disabled,哪怕是对于我们党最为激进的左翼分子而言，这也太夸张了
event.anthem_problem.option_3.text,我们怎能拘泥于眼前的这一切？英特纳雄耐尔，就一定要实现！
event.anthem_problem.option_4.text,《歌唱祖国》，这是一首怎么样都不会错的歌
event.anthem_problem.option_5.text,鲜红的太阳永不落，这是首好歌哇
event.anthem_problem.title,起来，起来，起来！
event.back_to_roots.desc,在50年代后期的大跃进运动以来，为了应对当时的形势，加上当时国家事实上无法负担中央计划经济，原本属于中央的经济权力被下放到地方，逐渐形成了分权式的计划经济体制。现在我们到达了一个新的历史节点，党内对经济体制的讨论也增加了。部分党员认为我们应该再次集权化，恢复中央计划经济体制，这能让我们的经济更好地协调发展；而改革派认为经济需要像刘少奇掌权时期那样进行一定放松甚至是进一步并且深化改革；当然，也有人认为经过了实践考验的分权式计划是当前的最好模式。我们应该如何选择？
event.back_to_roots.option_0.disabled,旧制度已经过时了！
event.back_to_roots.option_0.result,由中央、生产单位和地方政府共同协作的的分权式计划经济再次被强调。不久后，经中共中央和国务院批准，国家计委下达了从1974年便开始编订的第五个五年计划和国民经济发展十年规划。
event.back_to_roots.option_0.text,我们需要维持并深化分权计划经济体系
event.back_to_roots.option_1.disabled,党会在你的领导下走向改革，而不是重蹈覆辙！
event.back_to_roots.option_1.result,在之后的政治局会议上，我们决定重建在大跃进开展后逐渐被改革的中央计划经济体制，国家计委的权力再次扩大，新的经济和数学等方面的专家被邀请加入计委。不久后，经中共中央和国务院的批准，国家计委加强了经济集权化，随后计委下达了从1974年开始编订的第五个五年计划和国民经济发展十年规划。用于转型和成立管理机构的资金已经分配下去，鉴于苏联斯大林时期的经济制度和劳动纪律正在被恢复，地方上对经济权力的收回和服从上级的纪律规章的强化有所不满。
event.back_to_roots.option_1.text,恢复中央计划经济体系（需要1百万预算）
event.back_to_roots.option_2.disabled,打倒修正主义！
event.back_to_roots.option_2.result,在宣布对我国的经济体制进行改革之后，您和最显赫的改革派联合组成了一个特别小组，并以刘少奇的经验制定了未来的经济改革章程，全党（或者说只是中派和右派）正在等待着小组的决定。经济上的“解冻”已经开始，过去国家对经济方面的压力正在放松，并缩小了对个体经营的限制；在部分农村地区，新“三自一包”的行为也被默许。不久后，经中共中央和国务院批准，随后计委下达了从1974年开始编订的第五个五年计划和国民经济发展十年规划，但内容却变得不再详细，仅仅是在大方向上做了一些模糊的指示。中央的保守派和部分地方干部对这种“走资”的政策有所不满，群众也对此有所疑虑。
event.back_to_roots.option_2.text,为了社会主义现代化，让我们准备改革！
event.back_to_roots.title,回归本源
event.beijing_spring.desc,从今年年中开始，全国各地的学生和知识分子开始了激烈的活动，尤其是在北京，大街上挂着大字报（带有用于宣传和抗议的大象形文字的壁报），出版自制的杂志。大字报和报刊反对中国共产党的保守主义，批评文化大革命，呼吁经济和政治的自由化，对中国共产党内积极的改革派表示支持。此外，1977年，改革派们在他们控制下的期刊和报纸上发表了激烈的对我们政策的批评，他们说我们的政策“不符合马克思主义”，又主张“经济发展应该压倒意识形态工作”，“实践是检验真理的唯一标准”，并在他们的愿景中描述了市场改革的远大前景。
event.beijing_spring.option_0.result,在旧的方式下，国安和警察开始撕开大字报，寻找地下出版物，中国共产党再次通过了一场对改革派的清洗浪潮（然而，由于改革派在许多中国共产党组织中的统治地位，这场清洗并没有那么顺利）。人民和改革派都不高兴，但抗议浪潮已经停止。希望现在不满的人不会采取更激进的行动
event.beijing_spring.option_0.text,让国安部和中共人力资源部长解决这些问题。
event.beijing_spring.option_1.result,我们控制的媒体积极发表了我们的文章，驳斥了改革派的论文，在党的会议室里，左翼和右翼之间的争论再次爆发。当然，改革派也用新的文章和杂志来回应。人民对你们的争论很感兴趣，尽管由于改革派的民粹主义，大多数同情者站在他们一边，但也有站在你们的立场上的支持者。但如此广泛讨论政治问题的事实（这是自“百花齐放”运动以来首次）增强了人民对民主变革不可避免的信心。谁知道结果会是什么…
event.beijing_spring.option_1.text,加入与改革派的争论并否定他们
event.beijing_spring.option_2.result,你没有特别的反应。左翼和右翼之间的斗争大多不会超出中共会议室的墙壁，我们的媒体继续在你的支持下发言，批评改革派和他们的支持者的文章（事实证明媒体不是特别有用），学生们继续悬挂大字报。嗯，至少没有看到大规模的不满。
event.beijing_spring.option_2.text,我们的媒体会处理这种低廉的宣传
event.beijing_spring.title,北京之春
event.belize_independence.desc,同志，1981年9月21日，伯利兹正式宣布独立，成为英联邦内的主权国家。由于危地马拉长期声称对伯利兹拥有主权，英国承诺在独立后继续驻军保卫其安全。我们应当派代表出席独立庆典，并向这个中美洲的新国家表达祝贺。
event.belize_independence.option_0.text,祝贺伯利兹独立！
event.belize_independence.title,伯利兹独立
